Product,Type,Price,Category,cy,fi,il,nl,tt,uk,us
borste,Futon,179,bed,trafferth,pari,בואו,achter,hill,made,count
borterst,Footstool,49,footstool,fferm,mies,תודה,woede,wind,war,body
bortre,Chess table,39,table,ynys,nimi,או,break,told,speed,usual
boskap,Liquor cabinet,89,cabinet,llais,paras,ללבוש,mond,lift,branch,study
boss,Infant bed,229,bed,ychydig,alue,רוח,plannen,sight,yellow,baby
bostad,Chest of drawers,79,drawers,ochr,iho,התחלה,tijd,crease,side,knew
botanik,Entertainment center,29,hifi system,tôn,monikko,גיליון,zitje,every,baby,one
bota,Canopy bed,239,bed,nant,saapua,די,schreeuw,silent,experiment,chair
botten,Hatstand,109,hatstand,frwydr,hyvin,תוכל,gewas,fine,dollar,hit
boulevard,Curio cabinet,69,cabinet,casglu,säädös,שנה,weg,egg,bit,verb
bov,Radio receiver,9,radio receiver,cloc,aika,ביקור,spreken,ran,segment,trouble
bovete,Baker's rack,4,rack,ystyried,pyörä,אמצע,set,friend,again,age
bowling,Floating shelf,9,shelf,yno,kokemus,בין,zeil,window,join,stick
box,Radio receiver,39,radio receiver,golygu,kysyä,שלחתי,kaart,us,run,oh
boxare,Kitchen cabinet,59,cabinet,oed,sekoittaa,סוף,is,thick,neighbor,gone
boxning,Gun cabinet,109,cabinet,paent,segmentti,מאז,bij,ice,office,box
bracka,Plan chest,39,cabinet,uchod,rulla,עמק,zien,you,touch,woman
bragd,Entertainment center,9,hifi system,mae’n,lämpö,כותנה,dag,broad,winter,farm
brak,Plant stand,9,potted plant,siop,ohut,תמונה,yard,root,happen,here
bralla,Nightstand,59,nightstand,pâr,seurata,טיול,twee,bat,next,tree
brallor,Jukebox,49,record player,arth,solu,דק,bodem,written,lone,mountain
brand,Pantry,109,kitchen,ein,tavu,סוס,zijn,dollar,floor,spread
bransch,Piano,29,music,cogydd,vaatimus,נכתב,beschermen,a,cry,dance
brasa,Bar cabinet,99,cabinet,lluosi,vaatia,פועל,woestijn,always,west,white
braskande,Daybed,209,bed,taflu,syy,שווה,volledige,above,rain,fly
brass,Waterbed,99,bed,mab,muutos,שמחה,hunt,there,vowel,wire
brasserie,Radio receiver,69,radio receiver,dangos,punainen,עליון,straat,sail,quotient,slip
bravad,Liquor cabinet,89,cabinet,arbennig,pääte,תשע,ware,test,thick,basic
bravur,Mattress,89,mattress,symud,rikas,הם,die,multiply,keep,instant
bred,Murphy bed,209,bed,gwaelod,viileä,אפשרי,gras,hat,sharp,capital
bredbar,Daybed,209,bed,afal,hiukset,מאז,mark,repeat,color,iron
bredd,Infant bed,109,bed,rhybudd,esiintyä,הלכתי,warmte,wait,toward,section
bredda,Waterbed,249,bed,chwarae,virke,אויב,tijdens,that,experience,which
brev,Daybed,119,bed,gyfoethog,vasen,דירה,team,baby,true,insect
bricka,Infant bed,89,bed,dringo,tehdä,שעון,arts,sea,month,oxygen
bridge,Plant stand,9,potted plant,gyfraith,sisään,לצייר,hem,period,heart,here
brigad,Wardrobe,9,wardrobe,llais,pala,יד,bij,red,during,measure
briljans,Chifforobe,29,room,gwifren,kahtiajaon,מולקולה,staan,from,road,tell
briljera,Gun cabinet,59,cabinet,codi,vetää,מקום,praktijk,weather,appear,air
brillor,Bunk bed,159,bed,rhanbarth,ikkuna,רגל,een,up,captain,ten
bringa,Hoosier cabinet,69,cabinet,clust,aine,רמה,verschijnen,instrument,wish,toward
bringa,Chess table,169,table,cris,kaksinkertainen,שכבתי,tot,major,ring,inch
brink,Wine rack,24,rack,gorffen,mahdollinen,עוד,bevatten,example,am,lift
bris,Bathroom cabinet,29,cabinet,fflat,lumi,מייצג,geweest,keep,trip,large
brisera,Cabinetry,9,cabinet,byth,meni,עמד,markt,valley,laugh,beat
brist,Curio cabinet,29,cabinet,gwres,nyt,לרוץ,hoofd,settle,seed,but
brits,Canopy bed,79,bed,wyneb,laki,גדול,zal,solve,seed,speak
britt,Cabinetry,9,cabinet,nac,kolmio,אדם,acht,master,wind,bit
brittisk,Bean bag,9,bean bag,barod,vesi,לסדר,aanbod,record,fall,hat
brittsommar,Nightstand,9,nightstand,crio,melko,רכבת,houden,hard,winter,sat
bro,Four-poster bed,179,bed,pren,usein,צוואר,oor,sense,long,equal
broccoli,Daybed,199,bed,Roedd,suuri,גבר,probleem,ago,exact,market
brodera,Hall tree,19,hatstand,cymeriad,yrittää,לקפוץ,zitje,act,up,market
broderskap,Billiard table,19,table,syml,pitkä,או,boven,noise,children,any
broiler,Bar cabinet,19,cabinet,gardd,kaukainen,בבקשה,oog,color,winter,root
brokig,Gun cabinet,49,cabinet,dosbarth,arvata,עושה,met,rest,low,atom
broms,Platform bed,259,bed,dangos,Vierailun,תבואו,avond,discuss,mix,year
bromsa,Four-poster bed,179,bed,tenau,säätelevät,ילדים,eenvoudig,language,property,wife
bronkit,Accubita,9,accubita,arian,auto,כמובן,dag,back,school,walk
brons,Plant stand,9,potted plant,miliwn,laulu,לדון,laat,care,string,clean
bror,Canopy bed,209,bed,gwasanaethu,jos,די,gas,pattern,fair,body
brorsa,Liquor cabinet,79,cabinet,aer,ihme,אפל,slaaf,spring,quick,moon
brosch,Chifforobe,9,room,mae,auttaa,חמש,vijg,engine,original,door
broschyr,Cupboard,99,cupboard,got,maissi,להקל,segmenten,north,oxygen,age
brosk,Chest of drawers,129,drawers,dawel,kun,לאכלס,muziek,coast,for,thought
brott,Entertainment center,39,hifi system,yn,huutaa,מתגעגע,gevaar,money,gun,name
brottare,Stipo a bambocci,9,room,lliw,saalis,דלת,belangrijkste,train,take,hard
brottning,Bunk bed,179,bed,nythfa,höyry,את,vermenigvuldigen,some,center,make
brottslig,Bathroom cabinet,49,cabinet,yno,aalto,שלו,springen,town,fresh,us
brottsling,Bunk bed,119,bed,gwn,mekko,משפחה,maand,among,women,forest
brud,Kitchen cabinet,109,cabinet,disgleirio,kasvuston,רבים,grote,her,determine,thousand
brudgum,Platform bed,259,bed,canolfan,loki,למות,begeleiden,division,our,modern
brudtärna,Plan chest,79,cabinet,cymysgu,harmaa,טווח,ding,baby,history,century
bruk,Kitchen cabinet,129,cabinet,punt,asettaa,החלוקה,bang,throw,can,occur
bruka,Piano,19,music,canu,vähemmän,גלגל,aansluiten,also,million,opposite
bruklig,Chest of drawers,69,drawers,rheol,piirtää,להוביל,suiker,thank,wave,million
brumma,Gun cabinet,89,cabinet,gyfoethog,hän,ללמד,duidelijk,too,rest,require
brun,Floating shelf,9,shelf,menywod,lämmin,מדוע,divisie,laugh,sight,hour
brunch,Sleigh bed,79,bed,swyddfa,huopa,חצר,katoen,afraid,star,event
brunett,Chess table,59,table,uned,syvä,נאום,lift,love,oxygen,drink
brunn,Hoosier cabinet,59,cabinet,frwydr,kaikki,מגנט,krijgen,heat,thank,farm
brunst,Television set,9,television,bosibl,kytkeä,מה,bos,pitch,consonant,note
brus,Wine rack,14,rack,profiad,puhelu,אמיתי,termijn,surprise,own,sky
brusa,Television set,29,television,dicter,pääte,מאה,volledige,but,moon,dictionary
brutal,Hatstand,39,hatstand,llenwi,jää,חדר,arts,chair,slow,substance
brutto,Four-poster bed,239,bed,modern,sivuliike,נתפס,houden,yellow,sell,key
bryderi,Daybed,209,bed,gwersyll,osa,עשיתי,beter,wheel,dear,hear
brygd,Pinball machine,19,arcade,cell,maissi,זמן,oor,about,consider,spoke
brygga,Gun cabinet,99,cabinet,cyflwr,kohti,מפרש,alle,it,more,coat
bryggare,Nightstand,19,nightstand,gwlad,jompikumpi,עניבה,vaak,only,opposite,condition
bryggeri,Hammock,89,hammock,cyfnod,urut,להוכיח,warme,what,he,is
bryn,Chess table,9,table,swydd,joka,קשה,aangelegenheid,direct,else,example
bryne,Baker's rack,14,rack,Siaradodd,tarkoitti,לחיות,studie,stop,thought,chart
brysk,Waterbed,79,bed,deunydd,keskus,בואו,naam,name,end,yes
brytning,Chifforobe,9,room,gofrestr,mukaan,עור,sterven,subject,share,cloud
bråck,Tuffet,89,room,neidio,tulos,דחיפה,aftrekken,women,sight,present
bråd,Accubita,19,accubita,hapus,arkki,שורש,idee,still,pose,suggest
brådis,Bean bag,119,bean bag,llwyddiant,on,קיר,mensen,glass,branch,dollar
brådska,Platform bed,159,bed,dosbarth,korva,כאן,elementaire,build,or,leave
brådskande,Closet,49,closet,ffigur,niitä,כלב,excite,range,north,day
bråk,Hatstand,139,hatstand,teulu,tiesi,תנועה,vet,plain,substance,gun
bråka,Billiard table,9,table,llinyn,hyönteinen,בודד,gemeenschappelijke,experiment,thin,begin
bråkig,Curio cabinet,89,cabinet,gyfraith,osa,לבדוק,hond,less,put,distant
bråte,Four-poster bed,199,bed,cig,keskus,לשלוח,na,from,had,go
bräcklig,Sleigh bed,199,bed,organ,seinä,טענה,rechts,new,total,chord
bräckt,Nightstand,19,nightstand,natur,sanakirja,גדול,dikke,industry,said,there
bräda,Hoosier cabinet,19,cabinet,unwaith,oli,טבעת,oorzaak,better,felt,feel
brädd,Plan chest,159,cabinet,glir,yrittää,זה,niets,draw,sign,took
bräde,Filing cabinet,149,cabinet,dorf,ei,בעיה,bedrijf,stand,look,wire
bräm,Futon,89,bed,cyfle,hampaat,כותנה,ras,fat,card,rule
brännande,Nightstand,39,nightstand,brown,hieroa,ראשון,zachte,minute,side,bank
bränd,Chest of drawers,129,drawers,orllewin,ikkuna,רבוע,station,master,govern,did
brännbar,Bunk bed,229,bed,cloch,henkilö,שלג,minuut,cost,sand,edge
brännboll,Wardrobe,9,wardrobe,ddigon,kukka,יכול,springen,never,test,wall
bränning,Waterbed,129,bed,offeryn,esine,חול,totaal,who,broke,feel
bränsle,Hatstand,89,hatstand,yn,vokaali,מופע,doden,necessary,hold,animal
bräsch,Bookcase,39,bookcase,amrediad,yksinkertainen,אהבה,wortel,touch,sudden,divide
brätte,Hall tree,59,hatstand,byw,saada,רחוב,voelen,coast,determine,house
bröd,Chifforobe,29,room,glir,päällikkö,טיפוס,geven,mix,leg,sing
brödraskap,Platform bed,99,bed,rheoli,minua,נוכחי,set,soldier,least,carry
bröllop,Wine rack,34,rack,ysgol,merkki,תנועה,blijven,meet,flow,every
bröst,Cupboard,59,cupboard,siart,kirjoitti,עצמי,had,these,mouth,settle
bua,Platform bed,209,bed,papur,tutkimus,מאה,hear,present,or,water
bubbla,Kitchen cabinet,69,cabinet,hi,mestari,פלא,speciaal,region,path,told
bubbla,Pinball machine,39,arcade,gweithredu,osake,נכון,gooien,pull,slave,should
buckla,Billiard table,19,table,lan,peloissaan,בשר,hunt,were,flat,best
buckla,Footstool,39,footstool,yn,peli,מראה,rekenen,dance,keep,every
bucklig,Television set,69,television,nes,perhe,אופי,slaaf,world,cold,break
bud,Bean bag,119,bean bag,bwyta,rengas,מים,kloof,whether,sit,while
buddism,Liquor cabinet,99,cabinet,agored,valtava,חליפה,duizend,made,mile,except
budget,Gun cabinet,109,cabinet,cytuno,olisi,מנה,punt,class,keep,place
budo,Waterbed,259,bed,ysgrifennodd,merkki,עונה,kantoor,start,five,select
budskap,Mattress,39,mattress,gwerth,puhallus,חדש,afhangen,build,than,general
buffert,Cupboard,109,cupboard,blaned,väline,החוק,orde,for,floor,famous
buk,Accubita,9,accubita,disgyn,jossa,רם,hoewel,were,tell,bit
bukett,Toddler bed,199,bed,arbrawf,lapsi,שלהם,bewijzen,sound,single,week
bukig,Pantry,109,kitchen,ein,arvo,בן,slechte,follow,oil,enemy
buktig,Bunk bed,89,bed,tynnu,kulma,שמונה,geschiedenis,nothing,tail,feed
bula,Hall tree,79,hatstand,o,nykyaikainen,משקה,aanraken,draw,observe,happy
bulgar,Four-poster bed,179,bed,codi,huono,ילד,vouw,village,land,shout
bulgarisk,Piano,59,music,teithio,kulma,כובע,midden,excite,row,own
buljong,Bunk bed,259,bed,hawliad,maito,רוק,centrum,money,cow,danger
bulla,Infant bed,129,bed,nythfa,rakentaa,גדול,graad,plain,night,pitch
bulldogg,Curio cabinet,69,cabinet,goeden,lääkäri,דיבורים,dag,find,led,would
bulle,Bookcase,19,bookcase,teimlo,raskas,רחוב,buis,mind,also,notice
buller,Hatstand,129,hatstand,â’r,ympyrä,כמו,stok,corn,broad,minute
bulletin,Piano,29,music,siarad,bear,מאשר,tijdens,child,true,big
bullra,Gun cabinet,79,cabinet,pwy,yksinäinen,נתתי,we,motion,against,add
bullrig,Curio cabinet,39,cabinet,cloch,juoma,נפלתי,wit,near,tiny,please
bulnad,Hatstand,149,hatstand,mab,lopullinen,אחות,duidelijk,plan,call,I
bult,Daybed,259,bed,bwrdd,vahva,למשוך,boerderij,problem,win,oil
bulta,Pantry,49,kitchen,ffrind,välitön,עץ,passen,practice,again,water
bulvan,Billiard table,9,table,chwerthin,puolue,להתחיל,opnemen,roll,imagine,sign
bumerang,Cupboard,29,cupboard,milwr,puhua,לערבב,decimaal,material,neck,low
bumling,Pantry,119,kitchen,nifer,hän,חושש,geweest,with,similar,triangle
bungalow,Platform bed,129,bed,cyfateb,sormi,לחכות,manier,office,up,rest
bunke,Bean bag,49,bean bag,disgleirio,mieli,כוכב,niets,apple,fun,sheet
bunker,Hatstand,9,hatstand,mab,joka,אתר,of,score,nation,better
bunkra,Wardrobe,39,wardrobe,orsaf,opiskelija,ברור,slechte,problem,hit,child
bunt,Baker's rack,24,rack,pump,yksi,כסף,stop,early,my,one
bunta,Waterbed,189,bed,afon,poika,כדור,volgende,practice,term,week
bur,Infant bed,219,bed,hoffi,tarpeeksi,תהליך,gelijk,jump,next,room
burdus,Pantry,39,kitchen,bell,vauva,סוכר,rots,strange,life,market
burgen,Chess table,9,table,annwyl,kone,לקבל,touw,hat,box,sure
burk,Canopy bed,249,bed,agos,polttaa,הערה,na,town,effect,eight
burlesk,Chifforobe,39,room,rhaniad,köysi,על,achtervoegsel,beauty,ring,provide
burspråk,Entertainment center,29,hifi system,dewis,jotkut,אנחנו,rijden,opposite,element,wrong
bus,Accubita,19,accubita,cychwyn,toi,נמל,familie,occur,animal,wall
busa,Platform bed,209,bed,blodyn,yksikkö,רחוק,vloeistof,yes,case,post
buse,Wine rack,24,rack,dull,sointu,מקל,brede,warm,spring,late
bush,Wine rack,24,rack,tir,teräs,לשקול,achtervoegsel,free,try,go
busig,Entertainment center,129,hifi system,taith,ohut,פחות,slaaf,radio,whose,product
business,Baker's rack,44,rack,mawr,kuolema,לדבר,vleugel,sure,steam,ship
buskage,Closet,19,closet,droed,henkilö,נתפס,besparen,track,track,quotient
buske,Entertainment center,119,hifi system,sgiliau,puhui,משחק,bespreken,rail,ran,wire
buskis,Pantry,89,kitchen,gall,oi,עניין,plotseling,opposite,hope,map
buss,Billiard table,19,table,gadael,mies,ידעתי,midden,team,arrange,sight
bussa,Accubita,39,accubita,gwanwyn,opiskelija,הון,ochtend,sense,value,street
bussig,Hoosier cabinet,59,cabinet,pam,nykyaikainen,שווה,geleden,bad,she,thank
butelj,Toddler bed,179,bed,gwn,leiri,צוואר,geweest,design,phrase,element
butik,Closet,29,closet,ystyried,puoli,תחתון,of,separate,vary,sand
butter,Infant bed,209,bed,anwyd,jalka,טענה,klinken,happen,sharp,to
by,Curio cabinet,79,cabinet,ofn,istua,עשרוני,uit,let,meant,you
bygd,Filing cabinet,139,cabinet,wedi,miksi,גימור,passeren,shoe,ride,strange
bygel,Accubita,39,accubita,magnet,lause,למלא,schelp,back,light,measure
bygge,Mattress,39,mattress,meistr,kulkea,כל,ooit,them,favor,safe
byggnad,Hoosier cabinet,69,cabinet,llawer,vain,עבה,is,and,kept,first
byggnation,Accubita,39,accubita,parti,turvallinen,מסוים,vestigen,free,clear,low
byig,Chess table,109,table,Cymru,osamäärä,צהוב,object,station,large,star
byk,Liquor cabinet,119,cabinet,lladd,sängyssä,משקה,planten,join,base,yard
byling,Infant bed,89,bed,yw,täydellinen,אפילו,vleugel,stone,radio,safe
bylte,Jukebox,49,record player,syndod,ensimmäinen,בבוקר,boven,root,trip,thin
byracka,Bookcase,29,bookcase,ardal,led,שלו,aub,than,change,son
byråkrati,Toddler bed,159,bed,ci,sitten,כנף,verloren,success,seven,reply
byråkratisk,Canopy bed,169,bed,rhifolyn,alhainen,להיכנס,lopen,still,office,hope
byst,Stipo a bambocci,69,room,achos,tasainen,לעלות,liefde,paragraph,spring,job
byxa,Platform bed,109,bed,awgrymu,taas,לאיית,leren,example,eight,sell
båda,Hoosier cabinet,69,cabinet,arogl,vaimo,הרבה,hoed,finger,square,pull
båg,Television set,49,television,gwifren,saada,בסיס,een,truck,finish,observe
båge,Filing cabinet,19,cabinet,gylchran,voima,עשיתי,vertellen,degree,mass,let
bågna,Baker's rack,4,rack,trydan,kortti,אמא,wild,crease,happy,set
bålverk,Waterbed,169,bed,edrych,pitkälle,חושב,laag,crease,fill,glad
bång,Bathroom cabinet,39,cabinet,pysgod,yksi,מכה,zaag,island,must,receive
bångstyrig,Platform bed,109,bed,rheswm,osa,לקבל,tafel,case,general,fat
bår,Sleigh bed,69,bed,iawn,kun,לקראת,act,saw,shape,cold
bård,Plan chest,29,cabinet,gwell,pohja,יום,hebben,contain,home,eye
bås,Cabinetry,19,cabinet,slip,myydä,שיר,gewicht,double,under,pull
båt,Platform bed,229,bed,ddigon,maissi,אתה,kracht,wrote,wire,ring
bäck,Pinball machine,29,arcade,annwyl,sisältävät,די,happy,arrange,spell,lie
bäcken,Hall tree,39,hatstand,diolch,täydellinen,לספר,geld,spread,weather,hair
bädd,Television set,9,television,ysgrifennodd,hiljainen,לחם,samen,bell,include,use
bädda,Hall tree,49,hatstand,mawreddog,auto,תוכל,voedsel,clothe,plane,weather
bägare,Platform bed,219,bed,gofod,paikka,מראה,eend,weather,write,whether
bälg,Billiard table,19,table,aros,talo,שולחן,vinden,make,these,probable
bälte,Television set,39,television,meddal,toinen,עניין,spoedig,unit,near,represent
bänk,Billiard table,19,table,anfon,välttämätön,גימור,niets,six,soldier,grass
bärare,Filing cabinet,109,cabinet,nwy,leveä,רחב,methode,create,best,gold
bärga,Curio cabinet,9,cabinet,taro,käyttää,לחם,misschien,chair,chance,ring
bärgning,Waterbed,229,bed,ysgrifenedig,voittaa,יכול,stad,way,body,stay
bärighet,Gun cabinet,169,cabinet,cig,puhua,מסוים,zorg,metal,son,hunt
bäring,Floating shelf,9,shelf,cario,kautta,תודה,antwoorden,car,remember,friend
bärkraft,Toddler bed,209,bed,swydd,huono,אפור,apparaat,friend,still,air
bärnsten,Gun cabinet,9,cabinet,cytuno,lempeä,מקום,lieve,country,him,planet
bärsa,Footstool,49,footstool,ynni,puoli,מושב,dergelijke,even,sat,lead
bäst,Mattress,59,mattress,dosbarth,rengas,לא,soort,hot,strong,red
bästis,Plan chest,169,cabinet,bwyta,kasvi,תרגיל,kind,mount,crowd,tube
bättre,Wine rack,24,rack,diod,koira,להתרחש,water,art,what,sent
bättring,Entertainment center,49,hifi system,nos,tavallinen,מוקדם,nam,position,found,saw
bävan,Futon,99,bed,organ,koskaan,סימן,moeten,mind,him,river
bäva,Wardrobe,19,wardrobe,agored,pidä,סוג,sterke,join,mark,arm
bäver,Futon,149,bed,ifanc,kauppa,גבר,kreeg,home,particular,lost
böckling,Tuffet,49,room,wy,puu,תחת,doen,method,big,lady
bödel,Bar cabinet,79,cabinet,terfynol,siipi,חומר,leggen,word,see,off
böjelse,Infant bed,189,bed,ystlumod,rikkoi,מגרש,tekenen,motion,this,appear
böjlig,Tuffet,89,room,briodol,häntä,תחנה,afwerking,we,they,child
böjning,Stipo a bambocci,69,room,rhedodd,hieno,החלוקה,ondersteuning,eye,toward,least
böka,Bookcase,9,bookcase,cymryd,työ,שמן,miss,gas,electric,other
bökig,Bathroom cabinet,29,cabinet,arfordir,vesi,להקשיב,eeuw,brown,big,such
böla,Floating shelf,9,shelf,canu,tuoda,שולחן,onder,pay,chick,heavy
böld,Toddler bed,89,bed,hanes,tyttö,לפני,succes,then,shore,time
bölja,Bar cabinet,139,cabinet,prif,sää,רק,zou,what,anger,friend
bölja,Stipo a bambocci,19,room,trefnu,saakka,הביא,verzamelen,chord,sit,period
bön,Bunk bed,209,bed,awr,pikemminkin,בית,ijs,it,it,master
böna,Radio receiver,49,radio receiver,bach,itkeä,פעמון,over,produce,young,spring
böna,Platform bed,79,bed,uned,kautta,מזון,geloven,offer,neighbor,spoke
börd,Liquor cabinet,109,cabinet,gardd,hauskaa,סט,rots,fruit,group,add
börda,Plant stand,9,potted plant,cylch,siellä,גימור,instrument,girl,solution,thousand
bördig,Filing cabinet,169,cabinet,lliw,palvella,טון,tuin,effect,natural,grew
början,Futon,239,bed,rhyfel,voittaa,איבדתי,molecuul,people,some,spell
börja,Hammock,59,hammock,cynnwys,hieno,פרח,niet,require,join,skill
bössa,Closet,39,closet,deunydd,merkittävä,למהר,hoe,thus,wire,dark
böta,Bathroom cabinet,49,cabinet,llachar,osamäärä,שוב,beter,both,pay,caught
bövel,Hatstand,119,hatstand,ysgwydd,eniten,ליפול,mond,dad,fight,type
cabriolet,Hoosier cabinet,39,cabinet,eich,yrittää,שיער,goud,rock,nothing,field
cafeteria,Bean bag,39,bean bag,dorf,tarina,אתה,zijn,mark,sleep,must
campa,Jukebox,29,record player,dyffryn,päällikkö,כאשר,Show,form,method,miss
campare,Hall tree,19,hatstand,rhyfel,ratkaista,ב,winkel,several,talk,jump
camping,Filing cabinet,79,cabinet,pren,joiden,כרטיס,verhuizing,insect,many,divide
cancer,Hoosier cabinet,49,cabinet,trafod,tulevat,זוג,maïs,salt,floor,give
cancerogen,Platform bed,259,bed,berf,auto,משאית,kopie,draw,afraid,water
cannabis,Filing cabinet,139,cabinet,cwrs,substantiivi,לאפשר,niveau,mine,number,difficult
capita,Kitchen cabinet,69,cabinet,rhestr,kuvio,מדע,vallen,swim,pass,morning
cappuccino,Tuffet,9,room,haul,haju,להצטרף,weinig,beauty,happy,trade
carport,Waterbed,79,bed,rhedeg,runo,שבוע,gevangen,street,spring,come
cash,Hall tree,59,hatstand,pŵer,eivät,צבע,moderne,field,person,speak
celeber,Liquor cabinet,19,cabinet,prif,sormi,לאיית,tanden,you,stead,branch
celebritet,Kitchen cabinet,99,cabinet,brawd,poissa,כחול,gras,instant,capital,reply
celibat,Kitchen cabinet,59,cabinet,dechreuodd,yksinäinen,מסחר,meervoud,change,rail,skin
cell,Hoosier cabinet,69,cabinet,sillaf,totta,שלנו,dag,minute,rule,electric
cellist,Chifforobe,49,room,cyflym,taide,ים,gehouden,measure,does,began
cello,Bunk bed,189,bed,ateb,bändi,קול,heldere,experiment,imagine,stand
cellofan,Nightstand,19,nightstand,anodd,jompikumpi,אחת,pak,night,mix,subject
cellulosa,Gun cabinet,49,cabinet,llinyn,suuri,כל,proces,step,exact,soldier
cement,Liquor cabinet,9,cabinet,fferm,pääte,ידעתי,paar,summer,time,seem
censur,Daybed,139,bed,cyw,viime,גבוה,zelf,try,while,ride
censurera,Bunk bed,219,bed,dynol,tuli,שש,toets,fair,war,heat
centilong,Closet,49,closet,wyneb,kuusi,איטי,maken,help,inch,listen
centrifug,Platform bed,129,bed,hwyaden,opiskelija,כוכב,liefde,way,lie,ready
centrum,Plan chest,59,cabinet,gyfoethog,muut,לשים,die,capital,evening,other
cerat,Wardrobe,19,wardrobe,setlo,haluta,שקט,hit,rich,lead,board
ceremoni,Hatstand,119,hatstand,anialwch,kävellä,לאפשר,regel,blue,melody,ball
certifikat,Piano,29,music,trwchus,miehet,יום,diepe,so,line,heavy
cesium,Platform bed,239,bed,lori,ilmestyä,מוחזק,kaart,climb,snow,crop
champagne,Wardrobe,19,wardrobe,ateb,vihreä,לשטוף,nam,energy,thousand,gray
champinjon,Bunk bed,69,bed,cwrdd,setti,כמו,liefde,wish,sister,day
champion,Chifforobe,69,room,Gadawodd,kieli,מסוים,snel,rub,sugar,band
chans,Piano,29,music,fel,suojella,לרגש,partituur,big,small,fight
chansa,Murphy bed,69,bed,eira,hiekka,כך,komen,answer,would,self
charad,Waterbed,249,bed,ysgrifenedig,vastaus,רחב,zal,present,am,brown
chark,Hammock,9,hammock,cloch,meni,הקיץ,na,ocean,morning,them
charkuteri,Cupboard,109,cupboard,nag,solu,משולש,vogel,continue,seven,populate
charlatan,Kitchen cabinet,99,cabinet,cragen,substantiivi,חברה,geel,ear,even,plan
charm,Chifforobe,59,room,torrodd,tehty,לחתוך,zachte,though,told,round
charmig,Chest of drawers,129,drawers,fynd,hyvä,אלא,west,pretty,wait,nature
chassi,Hammock,29,hammock,mesur,laittaa,בן,nam,woman,steel,tool
chaufför,Stipo a bambocci,29,room,eiddo,ratkaisu,ילדה,dikke,silent,toward,gun
chauvinism,Accubita,29,accubita,llun,viettää,מה,hier,large,west,say
check,Tuffet,99,room,set,väkijoukko,רופא,afwerking,pass,thus,numeral
checka,Gun cabinet,69,cabinet,rhannu,nauraa,פרץ,break,operate,duck,does
chef,Chifforobe,69,room,tal,substantiivi,מאשר,stoom,written,sharp,feed
chic,Liquor cabinet,149,cabinet,dirwy,maa,רגל,van,low,who,first
chiffer,Stipo a bambocci,69,room,haf,voida,טון,huis,your,copy,bad
chilen,Piano,49,music,lle,vähemmän,הון,warme,it,long,less
chilensk,Billiard table,9,table,beth,kuiva,מאבק,nog,self,dry,was
chimär,Radio receiver,69,radio receiver,ynni,kartta,עבור,regelen,since,body,hold
chock,Hatstand,119,hatstand,sgwrs,on,אנשים,eenzame,die,either,were
chocka,Cupboard,69,cupboard,nofio,teräs,אירוע,centrum,get,some,burn
chockera,Footstool,29,footstool,prynu,merkittävä,מכונה,dood,island,half,seem
choke,Hall tree,59,hatstand,dechreuodd,oli,רחב,nog,law,score,came
choklad,Gun cabinet,39,cabinet,porthladd,musta,מוצר,lopen,hot,six,with
cider,Daybed,259,bed,cyrraedd,siirtomaa,גליל,hoek,row,told,king
cigarett,Closet,29,closet,sillaf,hyvin,קדימה,sturen,wrong,bar,large
cigarr,Wardrobe,39,wardrobe,ni,polttaa,שמח,rij,mind,hit,song
cirkel,Radio receiver,79,radio receiver,siwr,laaja,לבן,donker,cat,after,east
cirkla,Entertainment center,29,hifi system,egwyl,liikunta,שיחה,boot,self,green,decide
cirkulation,Plant stand,9,potted plant,cris,äänekäs,נמוך,lang,strange,been,gray
cirkulera,Stipo a bambocci,9,room,grym,neljä,כביש,ran,number,what,send
cirkulär,Jukebox,39,record player,enwog,elää,חלק,buis,sight,snow,said
cirkus,Platform bed,219,bed,briodol,huutaa,אלה,tekenen,sign,with,miss
cistern,Canopy bed,239,bed,hi,vaatimus,מוכן,post,nor,shine,gas
citat,Nightstand,49,nightstand,ysgrifennodd,nostaa,ארץ,kracht,week,water,fall
citera,Jukebox,19,record player,cadw,väkijoukko,להכין,rij,single,paint,cut
citron,Entertainment center,89,hifi system,tŷ,osa,סיפור,kat,toward,off,tool
city,Footstool,29,footstool,nes,kehno,ליטר,stond,dead,current,took
civil,Entertainment center,9,hifi system,crio,kauneus,מרכז,eigen,grand,yard,ocean
clips,Infant bed,149,bed,brynwyd,toimisto,מגניב,ook,flat,fight,valley
clown,Accubita,9,accubita,adeiladu,kiinni,גם,west,anger,mass,fell
cockpit,Waterbed,259,bed,meddwl,vielä,דגים,verwachten,note,tool,blow
cocktail,Bookcase,39,bookcase,taro,rikkoi,ספר,drie,operate,cost,form
collage,Piano,9,music,mae’n,asia,נגד,niets,until,find,took
college,Futon,129,bed,ffordd,syödä,אנרגיה,chief,hunt,distant,break
collie,Baker's rack,34,rack,olwyn,miten,רופא,echt,or,time,carry
comeback,Bunk bed,129,bed,rhedeg,tuote,ישיר,uur,finger,knew,we
container,Murphy bed,129,bed,cael,ensimmäinen,ראשי,finale,kind,spot,night
controller,Infant bed,229,bed,gwneud,kanssa,לפני,door,far,hold,mind
cool,Cabinetry,9,cabinet,ymddangos,hevonen,טרי,gekocht,reply,lost,exercise
